leather,					Кожа (PW)
caststainlesssteel,			Литая нержавеющая сталь (PW)
castcarbonsteel,			Литая углеродистая сталь (PW)
plaingalvanized,			Гладко оцинкованный (PW)
chainlinksteel,				Сталь цепочкой (PW)
machinedsteel,				Обработанная сталь (PW)
stainlesssteeltreadplate,	Нержавеющая сталь с накаткой (PW)
stainlesssteelknurled,		Нержавеющая сталь с насечками (PW)
wroughtstainlesssteel,		Кованая нержавеющая сталь (PW)
chromiumplate,				Хромированная пластина (PW)
brushedchromium,			Хром с насечками (PW)
satinfinishchrome,			Сатинированный хром (PW)
mattechrome,				Матовый хром (PW)
sandblastedchrome,			Хром пескоструйной обработки (PW)
burnishedchrome,			Полированный хром (PW)
chromiumplatecast,			Литая хромированная пластина (PW)
polishedaluminum,			Шлифованный алюминийm (PW)
brushedaluminum,			Алюминий с насечками (PW)
satinfinishaluminum,		Сатинированный алюминий (PW)
mattealuminum,				Матовый алюминий (PW)
sandblastedaluminum,		Алюминий пескоструйной обработки (PW)
burnishedaluminum,			Полированный алюминий (PW)
castaluminum,				Литой алюминий (PW)
blueanodizedaluminum,		Синий анодированный алюминий (PW)
aluminumtreadplate,			Алюминий с накаткой (PW)
polishedbronze,				Шлифованная бронза (PW)
brushedbronze,				Бронза с насечками (PW)
satinfinishbronze,			Сатинированная бронза (PW)		
mattebronze,				Матовая бронза (PW)
sandblastedbronze,			Бронза пескоструйной обработки (PW)
burnishedbronze,			Полированная бронза (PW)
castbronze,					Литая бронза (PW)
manganesebronze,			Марганцовистая бронза (PW)
polishedbrass,				Шлифованная латунь (PW)
brushedbrass,				Латунь с насечками (PW)
satinfinishbrass,			Сатинированная латунь (PW)
mattebrass,					Матовая латунь (PW)
sandblastedbrass,			Латунь пескоструйной обработки (PW)
burnishedbrass,				Полированная латунь (PW)
castbrass,					Литая латунь (PW)
polishedcopper, 			Шлифованная медьr (PW)
brushedcopper,				Медь с насечками (PW)
satinfinishcopper,			Сатинированная медь (PW)	
mattecopper,				Матовая медь (PW)
sandblastedcopper,			Медь пескоструйной обработки (PW)
burnishedcopper,			Полированная медь (PW)
castcopper,					Литая медь (PW)
wroughtcopper,				Кованая медь (PW)
polishednickel,				Шлифованный никель (PW)
brushednickel,				Никель с насечками (PW)
satinfinishnickel,			Сатинированный никель (PW)
mattenickel,				Матовый никель (PW)
sandblastednickel,			Никель пескоструйной обработки (PW)
burnishednickel,			Полированный никель (PW)
castnickel,					Литой никель (PW)
polishedzinc,				Шлифованный цинк (PW)
brushedzinc,				Цинк с насечками (PW)
satinfinishzinc,			Сатинированный цинк (PW)
sandblastedzinc,			Цинк пескоструйной обработки (PW)
burnishedzinc,				Полированный цинк (PW)
castzinc,					Литой цинк (PW)
brushedmagnesium,			Магний с насечками (PW)
mattemagnesium,				Матовый магний (PW)
satinfinishmagnesium,		Сатинированный магний (PW)
sandblastedmagnesium,		Магний пескоструйной обработки (PW)
burnishedmagnesium,			Полированный магний (PW)
castmagnesium,				Литой магний (PW)
matteiron,					Матовое железо (PW)
sandblastediron,			Железо пескоструйной обработки (PW)
castiron,					Литое железо (PW)
wroughtiron,				Кованое железо (PW)
brushedtitanium,			Титан с насечками (PW)
mattetitanium,				Матовый титан (PW)
satinfinishtitanium,		Сатинированный титан (PW)
sandblastedtitanium,		Титан пескоструйной обработки (PW)
burnishedtitanium,			Полированный титан (PW)
casttitanium,				Литой титан (PW)
brushedtungsten,			Вольфрам с насечками (PW)
matttetungsten,				Матовый вольфрам (PW)
satinfinishtungsten,		Сатинированный вольфрам (PW)
sandblastedtungsten,		Вольфрам пескоструйной обработки (PW)
burnishedtungsten,			Полированный вольфрам (PW)
casttungsten,				Литой вольфрам (PW)
polishedgold,				Шлифованное золото (PW)
mattegold,					Матовое золото (PW)
satinfinishgold,			Сатинированное золото (PW)
polishedsilver,				Шлифованное серебро (PW)
mattesilver,				Матовое серебро (PW)
satinfinishsilver,			Сатинированное серебро (PW)
polishedplatinum,			Шлифованная платина (PW)
matteplatinum,				Матовая платина (PW)
satinfinishplatinum,			Сатинированная платина (PW)
mattelead,					Матовый свинец (PW)
sandblastedlead,			Свинец пескоструйной обработки (PW)
burnishedlead,				Полированный свинец (PW)
castlead,					Литой свинец (PW)
brushedgalvanized,			Оцинкованный с насечками (PW)
mattegalvanized,			Матовый оцинкованный (PW)
coarsegalvanized,			Грубо оцинкованный (PW)
castgalvanized,				Литой оцинкованный (PW)
roughgalvanized,			Необработанный оцинкованный (PW)
shinygalvanized,			Блестящий оцинкованный (PW)
SpecCobblestone,			Зеркальный булыжный камень (BGE)
SpecFloorTile,				Зеркальная напольная плитка (BGE)
TransFloorTile,				Прозрачная напольная плитка (BGE)
Aluminum1345Alloy,			Легированный алюминий 1345
Aluminum1350Alloy,			Легированный алюминий 1350
Aluminum2014Alloy,			Легированный алюминий 2014 
Aluminum2018Alloy,			Легированный алюминий 2018 
Aluminum2024Alloy,			Легированный алюминий 2024 
Aluminum3003Alloy,			Легированный алюминий 3003 
Aluminum6061Alloy,			Легированный алюминий 6061
Aluminum7079Alloy,			Легированный алюминий 7079
AluminumBrushed,			Матовый алюминий
AluminumCircularBrushed,		Круговой матовый алюминий
AluminumSatin,				Шлифованная сталь
BrassPolished,				Полированная латунь
BronzeAluminum,				Бронза алюминий
BronzeCommercial,			Коммерческая бронза
BronzeManganese,			Матовая бронза
BronzeTinBearing,			Бронза
CarbonFibre,				Углеродное волокно
ceramicporcelain,			Фарфор
ceramicporcelain2,			Фарфор2
ChromePolished,				Хром
Cobalt,					Кобальт
CopperPolished,				Медь
CopperWrought,				Кованая медь
Glass,					Стекло
GlassFibre,				Стекляное волокно
GoldDull,				Золото
